Error(Midpoints are not in die_area): temp_buffer_346 Z ['CTS.py', 'rbank30_detailed.def', 'star', 'Rbank2']
Error(Midpoints are not in die_area): temp_buffer_415 Z ['CTS.py', 'rbank30_detailed.def', 'star', 'Rbank2']
Error(Midpoints are not in die_area): temp_buffer_553 Z ['CTS.py', 'rbank30_detailed.def', 'star', 'Rbank2']
Error(Midpoints are not in die_area): temp_buffer_894 Z ['CTS.py', 'rbank30_detailed.def', 'star', 'Rbank2']
Error(Midpoints are not in die_area): temp_buffer_963 Z ['CTS.py', 'rbank30_detailed.def', 'star', 'Rbank2']
Error(Midpoints are not in die_area): temp_buffer_1103 Z ['CTS.py', 'rbank30_detailed.def', 'star', 'Rbank2']
Error(Midpoints are not in die_area): temp_buffer_1445 Z ['CTS.py', 'rbank30_detailed.def', 'star', 'Rbank2']
Error(Midpoints are not in die_area): temp_buffer_1581 Z ['CTS.py', 'rbank30_detailed.def', 'star', 'Rbank2']
Error(Midpoints are not in die_area): temp_buffer_1788 Z ['CTS.py', 'rbank30_detailed.def', 'star', 'Rbank2']
Error(Midpoints are not in die_area): temp_buffer_1856 Z ['CTS.py', 'rbank30_detailed.def', 'star', 'Rbank2']
Error(Midpoints are not in die_area): temp_buffer_2062 Z ['CTS.py', 'rbank30_detailed.def', 'star', 'Rbank2']
Error(Midpoints are not in die_area): temp_buffer_2130 Z ['CTS.py', 'rbank30_detailed.def', 'star', 'Rbank2']
Error(Midpoints are not in die_area): temp_buffer_277 Z ['CTS.py', 'a2_47rbank.txt.def', 'star', 'a2_rbank']
